,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
1552,2022-05-18,2,1040.0,,carpet area,sarjapur road,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,20000,-1.0,1,medium,0.33098591549295775,0.4695483942566019
1554,2022-07-07,3,1200.0,1 out of 2,super area,nagondanahalli,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,30000,1.0,0,large,0.5070422535211269,0.8431257772546311
1555,2022-06-30,3,1600.0,2 out of 3,super area,"isro layout, kumaraswamy layout",bangalore,Semi-Furnished,family,3.0,Contact Agent,20000,2.0,0,large,0.33098591549295775,1.7770692347497044
1557,2022-06-08,2,1000.0,2 out of 4,carpet area,jar shikara,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,17000,2.0,1,medium,0.278169014084507,0.37615404850709455
1559,2022-05-26,1,400.0,,super area,"electronic city phase 2, electronic city",bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,6000,-1.0,1,small,0.08450704225352114,-1.0247611377355152
1560,2022-06-16,2,950.0,1 out of 1,carpet area,ramamurthy nagar,bangalore,Furnished,bachelors/family,3.0,Contact Owner,16000,1.0,1,medium,0.2605633802816901,0.2594111163202104
1561,2022-06-07,2,530.0,,carpet area,byatarayanapura,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,9500,-1.0,1,medium,0.14612676056338028,-0.7212295140496165
1562,2022-06-16,1,300.0,Ground out of 2,carpet area,"udayanagar extension, mahadevapura",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,small,0.11971830985915494,-1.2582470021092835
1563,2022-06-22,2,1000.0,Ground out of 3,carpet area,"dwarka nagar, kattigenahalli",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,15000,0.0,1,medium,0.24295774647887328,0.37615404850709455
1564,2022-05-23,1,450.0,3 out of 3,super area,btm layout,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,12000,3.0,1,small,0.19014084507042256,-0.9080182055486311
1565,2022-06-06,1,600.0,,carpet area,"jeevan bima nagar, airport road",bangalore,Semi-Furnished,bachelors,1.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,-0.5577894089879787
1566,2022-06-23,2,1100.0,2 out of 4,super area,"jaya nagar block 7, jayanagar",bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,16000,2.0,1,medium,0.2605633802816901,0.6096399128808628
1568,2022-06-30,2,700.0,1 out of 2,super area,"hosa road, off hosur road",bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,11000,1.0,1,medium,0.17253521126760565,-0.32430354461421035
1570,2022-07-08,3,1430.0,3 out of 4,super area,subramanyapura,chennai,Furnished,bachelors/family,2.0,Contact Owner,24000,3.0,0,large,0.4014084507042254,1.3801432653142982
1571,2022-05-15,2,850.0,2 out of 4,super area,k r puram,bangalore,Furnished,bachelors/family,2.0,Contact Owner,14500,2.0,1,medium,0.23415492957746478,0.025925251946442084
1572,2022-05-23,1,650.0,,carpet area,byatarayanapura,hyderabad,Unfurnished,bachelors/family,1.0,Contact Owner,4000,-1.0,1,medium,0.04929577464788733,-0.44104647680109454
1573,2022-05-23,2,1200.0,Ground out of 2,super area,unknown place,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,12000,0.0,1,large,0.19014084507042256,0.8431257772546311
1574,2022-07-04,2,600.0,1 out of 3,super area,vijayanagar,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,8500,1.0,1,medium,0.12852112676056338,-0.5577894089879787
1575,2022-06-26,1,400.0,2 out of 4,carpet area,munnekollal,mumbai,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,2.0,1,small,0.13732394366197184,-1.0247611377355152
1577,2022-05-06,2,1100.0,Ground out of 1,super area,"ananda puram, jeevan bima nagar",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,10500,0.0,1,medium,0.1637323943661972,0.6096399128808628
1578,2022-05-29,2,900.0,1 out of 5,super area,"electronic city phase 2, electronic city",bangalore,Unfurnished,bachelors,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.14266818413332624
1580,2022-05-25,2,1000.0,Ground out of 1,super area,horamavu kelkkeri road,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.37615404850709455
1581,2022-06-24,3,1000.0,1 out of 2,carpet area,"vishweshwaraiah layout, annapurneshwari nagar",bangalore,Furnished,bachelors/family,3.0,Contact Owner,21000,1.0,0,medium,0.3485915492957746,0.37615404850709455
1582,2022-06-06,3,900.0,Ground out of 1,super area,babusapalya,bangalore,Unfurnished,bachelors/family,2.0,Contact Agent,12000,0.0,0,medium,0.19014084507042256,0.14266818413332624
1583,2022-06-06,1,800.0,1 out of 1,super area,unknown place,bangalore,Unfurnished,bachelors/family,1.0,Contact Agent,7000,1.0,1,medium,0.10211267605633803,-0.09081768024044207
1584,2022-05-12,2,750.0,1 out of 3,super area,hutchins road,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.20756061242732624
1585,2022-05-10,2,1100.0,2 out of 5,carpet area,unknown place,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,11400,2.0,1,medium,0.1795774647887324,0.6096399128808628
1586,2022-04-28,2,1200.0,1 out of 3,super area,"jp nagar phase 1, j p nagar",bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,large,0.24295774647887328,0.8431257772546311
1587,2022-06-20,2,1000.0,Ground out of 2,carpet area,"rbi layout, j p nagar",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,19000,0.0,1,medium,0.31338028169014087,0.37615404850709455
1589,2022-05-18,3,2000.0,2 out of 4,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Agent,48000,2.0,0,large,0.8239436619718311,2.7110126922447773
1590,2022-05-05,1,550.0,1 out of 3,super area,chikkalasandra,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7000,1.0,1,medium,0.10211267605633803,-0.6745323411748628
1591,2022-06-12,2,1130.0,Ground out of 4,super area,whitefield,bangalore,Unfurnished,family,2.0,Contact Owner,15000,0.0,1,large,0.24295774647887328,0.6796856721929934
1592,2022-06-27,2,600.0,Ground out of 1,carpet area,abbigere,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,0.0,1,medium,0.15492957746478875,-0.5577894089879787
1593,2022-05-16,1,100.0,1 out of 2,carpet area,chikkabanavara,bangalore,Semi-Furnished,family,1.0,Contact Owner,7000,1.0,1,small,0.10211267605633803,-1.7252187308568203
1594,2022-06-20,2,500.0,2 out of 5,super area,"meenakshi layout, kengeri",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,2.0,1,small,0.13732394366197184,-0.791275273361747
1595,2022-05-10,2,600.0,Ground out of 3,super area,unknown place,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.5577894089879787
1596,2022-06-20,2,1200.0,1 out of 5,carpet area,mahatma gandhi road,bangalore,Semi-Furnished,bachelors,2.0,Contact Agent,35000,1.0,1,large,0.5950704225352114,0.8431257772546311
1597,2022-05-05,2,850.0,1 out of 2,super area,bilekahalli,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,1.0,1,medium,0.2605633802816901,0.025925251946442084
1599,2022-05-23,2,600.0,1 out of 3,super area,sivanchetti gardens,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,16000,1.0,1,medium,0.2605633802816901,-0.5577894089879787
1600,2022-06-23,3,700.0,1 out of 4,super area,nagavara,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,1.0,0,medium,0.15492957746478875,-0.32430354461421035
1601,2022-06-20,1,400.0,1 out of 1,carpet area,hebbal,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,1.0,1,small,0.11971830985915494,-1.0247611377355152
1602,2022-05-23,1,400.0,,super area,thammenahalli apartmentge,delhi,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,small,0.08450704225352114,-1.0247611377355152
1603,2022-06-30,2,1000.0,1 out of 2,carpet area,horamavu,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,13000,1.0,1,medium,0.20774647887323944,0.37615404850709455
1604,2022-06-20,2,1200.0,,super area,k r puram,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,large,0.15492957746478875,0.8431257772546311
1606,2022-05-14,3,1200.0,Ground out of 2,super area,bagalakunte,bangalore,Semi-Furnished,family,2.0,Contact Owner,15000,0.0,0,large,0.24295774647887328,0.8431257772546311
1608,2022-07-07,2,1200.0,3 out of 4,super area,gottigere,mumbai,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,3.0,1,large,0.13732394366197184,0.8431257772546311
1609,2022-07-07,3,1771.0,10 out of 18,carpet area,gottigere,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Agent,36000,10.0,0,large,0.6126760563380282,2.176330062828848
1610,2022-06-16,3,1200.0,2 out of 3,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,37000,2.0,0,large,0.6302816901408451,0.8431257772546311
1611,2022-06-23,2,700.0,1 out of 2,super area,ragavendra industrial estate,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,6000,1.0,1,medium,0.08450704225352114,-0.32430354461421035
1612,2022-05-31,1,610.0,10 out of 10,super area,"jalahalli, jalahalli, outer ring road",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,17000,10.0,1,medium,0.278169014084507,-0.5344408225506019
1613,2022-05-31,2,800.0,3 out of 4,super area,"dooravani nagar, dooravani nagar",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,3.0,1,medium,0.11971830985915494,-0.09081768024044207
1614,2022-06-21,1,550.0,2 out of 3,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7500,2.0,1,medium,0.1109154929577465,-0.6745323411748628
1615,2022-05-27,2,750.0,1 out of 4,super area,"ms palya, vidyaranyapura",hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,9500,1.0,1,medium,0.14612676056338028,-0.20756061242732624
1616,2022-06-04,2,700.0,1 out of 3,super area,mathikere,bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,13500,1.0,1,medium,0.2165492957746479,-0.32430354461421035
1618,2022-06-20,1,360.0,Ground out of 2,super area,j p nagar,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,7000,0.0,1,small,0.10211267605633803,-1.1181554834850227
1621,2022-07-08,2,1200.0,1 out of 3,super area,electronic city,bangalore,Furnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,large,0.19014084507042256,0.8431257772546311
1622,2022-06-27,1,480.0,2 out of 3,super area,unknown place,bangalore,Furnished,bachelors/family,1.0,Contact Owner,8500,2.0,1,small,0.12852112676056338,-0.8379724462365007
1625,2022-05-27,3,900.0,2 out of 3,super area,rajajinagar,bangalore,Furnished,bachelors/family,2.0,Contact Owner,18000,2.0,0,medium,0.295774647887324,0.14266818413332624
1626,2022-06-20,3,1450.0,Ground out of 2,super area,rayasandra,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,17000,0.0,0,large,0.278169014084507,1.4268404381890518
1627,2022-06-20,1,400.0,,super area,rajajinagar,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6500,-1.0,1,small,0.09330985915492958,-1.0247611377355152
1628,2022-05-18,2,700.0,1 out of 2,super area,near coffee board layout,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,11500,1.0,1,medium,0.1813380281690141,-0.32430354461421035
1629,2022-05-10,2,1000.0,2 out of 6,carpet area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,22000,2.0,1,medium,0.3661971830985916,0.37615404850709455
1630,2022-05-16,1,450.0,3 out of 3,carpet area,"lakkasandra, wilson garden, bannerghatta main road",bangalore,Furnished,bachelors/family,1.0,Contact Owner,13000,3.0,1,small,0.20774647887323944,-0.9080182055486311
1631,2022-06-16,3,773.0,2 out of 12,carpet area,mysore road,bangalore,Semi-Furnished,bachelors,2.0,Contact Agent,20000,2.0,0,medium,0.33098591549295775,-0.1538588636213595
1632,2022-05-27,2,1200.0,1 out of 2,super area,kengeri,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,1.0,1,large,0.15492957746478875,0.8431257772546311
1633,2022-05-27,2,1000.0,,super area,begur koppa rd,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,0.37615404850709455
1634,2022-06-10,1,150.0,2 out of 3,carpet area,b.narayanapura,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,2.0,1,small,0.11971830985915494,-1.608475798669936
1636,2022-06-04,1,600.0,1 out of 4,super area,rayasandra,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,20000,1.0,1,medium,0.33098591549295775,-0.5577894089879787
1637,2022-05-23,2,800.0,2 out of 3,super area,basavanagudi,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,20000,2.0,1,medium,0.33098591549295775,-0.09081768024044207
1638,2022-05-31,1,200.0,Ground out of 4,super area,old airport road,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,small,0.11971830985915494,-1.4917328664830518
1639,2022-06-02,1,600.0,1 out of 4,carpet area,hebbal,bangalore,Unfurnished,bachelors,2.0,Contact Owner,11000,1.0,1,medium,0.17253521126760565,-0.5577894089879787
1640,2022-06-14,3,1840.0,,carpet area,horamavu,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,40000,-1.0,0,large,0.6830985915492959,2.3374353092467484
1643,2022-06-30,2,600.0,1 out of 2,carpet area,electronic city,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,1.0,1,medium,0.11971830985915494,-0.5577894089879787
1645,2022-05-27,2,950.0,1 out of 2,super area,nri layout,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.2594111163202104
1646,2022-06-07,2,905.0,3 out of 6,super area,kanakapura road,bangalore,Semi-Furnished,family,2.0,Contact Owner,12000,3.0,1,medium,0.19014084507042256,0.15434247735201465
1647,2022-04-28,2,1200.0,Ground out of 1,carpet area,unknown place,bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,20000,0.0,1,large,0.33098591549295775,0.8431257772546311
1648,2022-06-11,3,1000.0,1 out of 2,super area,k r puram,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,13000,1.0,0,medium,0.20774647887323944,0.37615404850709455
1652,2022-05-23,1,600.0,1 out of 2,super area,bommanahalli,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7500,1.0,1,medium,0.1109154929577465,-0.5577894089879787
1653,2022-05-31,2,1100.0,2 out of 5,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,22000,2.0,1,medium,0.3661971830985916,0.6096399128808628
1654,2022-06-04,3,300.0,Ground out of 2,super area,nagarbhavi,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,6000,0.0,0,small,0.08450704225352114,-1.2582470021092835
1655,2022-07-04,2,1200.0,3 out of 6,carpet area,marathahalli,bangalore,Furnished,bachelors/family,1.0,Contact Agent,32900,3.0,1,large,0.5580985915492959,0.8431257772546311
1656,2022-05-23,2,800.0,,super area,j p nagar,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,-0.09081768024044207
1657,2022-05-23,2,535.0,3 out of 4,super area,"moodalaplya, vijayanagar",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,10000,3.0,1,medium,0.15492957746478875,-0.709555220830928
1658,2022-06-15,2,800.0,1 out of 3,super area,"bedarahalli, magadi road",bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.09081768024044207
1662,2022-05-14,2,700.0,2 out of 3,super area,vijayanagar,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,14000,2.0,1,medium,0.22535211267605634,-0.32430354461421035
1663,2022-05-31,1,550.0,,super area,mahadevapura,bangalore,Semi-Furnished,bachelors,1.0,Contact Agent,14500,-1.0,1,medium,0.23415492957746478,-0.6745323411748628
1664,2022-06-04,1,700.0,2 out of 4,super area,rukmini nagar,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,2.0,1,medium,0.09330985915492958,-0.32430354461421035
1665,2022-06-23,2,600.0,1 out of 5,carpet area,vibhutipura,bangalore,Unfurnished,bachelors,2.0,Contact Owner,13000,1.0,1,medium,0.20774647887323944,-0.5577894089879787
1666,2022-05-27,2,600.0,1 out of 4,super area,"mallasandra, jalahalli west",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,1.0,1,medium,0.11971830985915494,-0.5577894089879787
1667,2022-06-25,2,1000.0,2 out of 4,super area,hebbal kempapura,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,18000,2.0,1,medium,0.295774647887324,0.37615404850709455
1668,2022-05-19,2,1100.0,,super area,rajajinagar,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,20000,-1.0,1,medium,0.33098591549295775,0.6096399128808628
1669,2022-04-28,1,750.0,3 out of 4,carpet area,"jp nagar phase 5, j p nagar, outer ring road",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,14000,3.0,1,medium,0.22535211267605634,-0.20756061242732624
1671,2022-06-25,2,990.0,1 out of 4,super area,bhattarahalli,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,14500,1.0,1,medium,0.23415492957746478,0.3528054620697177
1672,2022-05-01,2,1300.0,Ground out of 2,super area,raghuvanahalli-bcmc layout,bangalore,Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,large,0.24295774647887328,1.0766116416283995
1673,2022-06-20,1,550.0,2 out of 3,carpet area,mahadevapura,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,11500,2.0,1,medium,0.1813380281690141,-0.6745323411748628
1674,2022-06-07,3,1360.0,5 out of 9,super area,chandapura,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,5.0,0,large,0.24295774647887328,1.2167031602526603
1675,2022-06-01,2,600.0,,carpet area,unknown place,bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,-0.5577894089879787
1676,2022-06-14,2,1200.0,Ground out of 12,carpet area,electronic city,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,18000,0.0,1,large,0.295774647887324,0.8431257772546311
1677,2022-05-14,2,1050.0,1 out of 5,super area,electronic city,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,0.4928969806939787
1678,2022-06-23,2,840.0,2 out of 4,super area,medahalli,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,0.0025766655090652527
1679,2022-06-16,2,1050.0,1 out of 5,super area,hoysala nagar,bangalore,Semi-Furnished,family,2.0,Contact Owner,25000,1.0,1,medium,0.41901408450704225,0.4928969806939787
1681,2022-05-12,1,500.0,2 out of 3,super area,nagarabhavi,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,10000,2.0,1,small,0.15492957746478875,-0.791275273361747
1683,2022-05-22,2,1300.0,2 out of 4,carpet area,indira nagar,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,40000,2.0,1,large,0.6830985915492959,1.0766116416283995
1684,2022-07-09,2,600.0,2 out of 3,super area,"shamanna garden, wilson garden",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,-0.5577894089879787
1685,2022-05-20,2,900.0,3 out of 5,carpet area,kodi halli,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,16000,3.0,1,medium,0.2605633802816901,0.14266818413332624
1686,2022-05-20,2,1100.0,2 out of 5,carpet area,kodi halli,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,23000,2.0,1,medium,0.3838028169014085,0.6096399128808628
1687,2022-05-20,2,1100.0,2 out of 10,carpet area,"jagadish nagar, kaggadasapura",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,25000,2.0,1,medium,0.41901408450704225,0.6096399128808628
1688,2022-06-08,1,600.0,2 out of 3,super area,kadugodi,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,7000,2.0,1,medium,0.10211267605633803,-0.5577894089879787
1689,2022-05-31,2,1250.0,1 out of 2,carpet area,yeshwantpur,bangalore,Unfurnished,bachelors,2.0,Contact Owner,17500,1.0,1,large,0.2869718309859155,0.9598687094415153
1691,2022-06-04,3,1200.0,,super area,vidyaranyapura,bangalore,Furnished,bachelors/family,4.0,Contact Owner,39000,-1.0,0,large,0.665492957746479,0.8431257772546311
1692,2022-05-18,3,1200.0,4 out of 4,carpet area,bommasandra,bangalore,Unfurnished,bachelors,2.0,Contact Owner,22000,4.0,0,large,0.3661971830985916,0.8431257772546311
1694,2022-05-27,2,1300.0,,super area,bangalore,bangalore,Furnished,bachelors/family,2.0,Contact Owner,23000,-1.0,1,large,0.3838028169014085,1.0766116416283995
1695,2022-04-28,2,1150.0,2 out of 4,carpet area,unknown place,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,20000,2.0,1,large,0.33098591549295775,0.726382845067747
1696,2022-05-19,1,450.0,,carpet area,"malleshpalya, kaggadasapura",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,-1.0,1,small,0.15492957746478875,-0.9080182055486311
1697,2022-07-04,2,600.0,5 out of 5,carpet area,mahadevapura,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,15000,5.0,1,medium,0.24295774647887328,-0.5577894089879787
1698,2022-06-04,2,1000.0,3 out of 4,super area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,17000,3.0,1,medium,0.278169014084507,0.37615404850709455
1700,2022-07-06,3,1700.0,,carpet area,unknown place,bangalore,Semi-Furnished,family,3.0,Contact Agent,43000,-1.0,0,large,0.7359154929577465,2.0105550991234726
1701,2022-06-09,2,1100.0,2 out of 5,carpet area,seshadripuram,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,25000,2.0,1,medium,0.41901408450704225,0.6096399128808628
1702,2022-05-14,1,500.0,1 out of 3,carpet area,mudhaliar layout,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,1.0,1,small,0.13732394366197184,-0.791275273361747
1703,2022-07-07,3,1757.0,9 out of 10,super area,"jalahalli, jalahalli, outer ring road",bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,31000,9.0,0,large,0.5246478873239437,2.1436420418165207
1704,2022-06-19,1,300.0,Ground out of 2,super area,ullal upnagar,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-1.2582470021092835
1705,2022-06-12,1,500.0,2 out of 3,super area,guttahalli,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,2.0,1,small,0.06690140845070423,-0.791275273361747
1706,2022-05-11,2,1200.0,,super area,"dr.shivaram karanth nagar, jakkuru",bangalore,Unfurnished,bachelors,2.0,Contact Owner,16000,-1.0,1,large,0.2605633802816901,0.8431257772546311
1707,2022-07-06,1,800.0,Ground out of 5,super area,koramangala,bangalore,Semi-Furnished,family,1.0,Contact Agent,20000,0.0,1,medium,0.33098591549295775,-0.09081768024044207
1708,2022-05-10,3,1281.0,2 out of 4,super area,banaswadi,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,28000,2.0,0,large,0.471830985915493,1.0322493273973834
1709,2022-05-23,2,1450.0,,carpet area,"jp nagar phase 6, j p nagar, outer ring road",bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,18000,-1.0,1,large,0.295774647887324,1.4268404381890518
1712,2022-05-02,3,1500.0,1 out of 7,carpet area,unknown place,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Agent,25000,1.0,0,large,0.41901408450704225,1.543583370375936
1713,2022-07-06,3,1800.0,1 out of 1,super area,whitefield,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,35000,1.0,0,large,0.5950704225352114,2.244040963497241
1714,2022-07-06,1,400.0,1 out of 2,super area,c v raman nagar,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,7000,1.0,1,small,0.10211267605633803,-1.0247611377355152
1715,2022-06-22,1,600.0,,carpet area,unknown place,bangalore,Unfurnished,bachelors,1.0,Contact Owner,7500,-1.0,1,medium,0.1109154929577465,-0.5577894089879787
1716,2022-05-25,2,1100.0,,carpet area,k r puram,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,14000,-1.0,1,medium,0.22535211267605634,0.6096399128808628
1717,2022-05-31,2,1100.0,1 out of 5,carpet area,unknown place,bangalore,Unfurnished,bachelors,2.0,Contact Owner,20000,1.0,1,medium,0.33098591549295775,0.6096399128808628
1720,2022-05-27,2,700.0,1 out of 2,super area,yeshwantpur,hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.32430354461421035
1721,2022-06-28,1,600.0,1 out of 2,carpet area,hesaraghatta main road,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,5500,1.0,1,medium,0.07570422535211269,-0.5577894089879787
1722,2022-05-23,2,700.0,1 out of 3,super area,nri layout,kolkata,Unfurnished,bachelors,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.32430354461421035
1723,2022-07-07,1,250.0,1 out of 4,super area,"konappana agrahara, electronic city",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7000,1.0,1,small,0.10211267605633803,-1.3749899342961678
1724,2022-05-24,2,1200.0,2 out of 3,super area,"jp nagar phase 7, j p nagar",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,11500,2.0,1,large,0.1813380281690141,0.8431257772546311
1726,2022-06-30,2,1221.0,2 out of 5,carpet area,"hosa road, off hosur road",bangalore,Unfurnished,bachelors,2.0,Contact Owner,19000,2.0,1,large,0.31338028169014087,0.8921578087731225
1727,2022-04-30,2,1250.0,,super area,"dinnur, hebbal",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,-1.0,1,large,0.24295774647887328,0.9598687094415153
1728,2022-06-04,2,700.0,Ground out of 2,super area,"chikkasandra-jalahalli west, jalahalli west",chennai,Semi-Furnished,family,1.0,Contact Owner,10500,0.0,1,medium,0.1637323943661972,-0.32430354461421035
1729,2022-05-19,2,700.0,1 out of 2,super area,"doddanekundi, kartik nagar",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,-0.32430354461421035
1730,2022-06-23,3,200.0,2 out of 3,super area,"jp nagar phase 2, j p nagar",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7000,2.0,0,small,0.10211267605633803,-1.4917328664830518
1731,2022-05-27,1,1200.0,Ground out of 1,super area,attibele,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,large,0.24295774647887328,0.8431257772546311
1732,2022-05-27,2,600.0,3 out of 5,super area,"devinagar, outer ring road",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,23000,3.0,1,medium,0.3838028169014085,-0.5577894089879787
1733,2022-05-27,1,600.0,3 out of 5,super area,electronic city,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,6500,3.0,1,medium,0.09330985915492958,-0.5577894089879787
